#gene	origin	count
ERBB2	imputed	13.0
CTSZ	imputed	4.0
MAP2K1	imputed	2.0
EGF	imputed	10.0
HRAS	imputed	1.0
TFRC	imputed	13.0
GNB2L1	group1	12.0
CDH2	imputed	10.0
ITGB1	imputed	13.0
VCL	group1	13.0
UBB	group1	13.0
B2M	group1	13.0
CD3D	imputed	6.0
MAPK1	imputed	13.0
TAP1	imputed	13.0
CLU	group1	9.0
SRC	imputed	10.0
HIF1A	imputed	2.0
EGFR	imputed	13.0
ADAM10	imputed	6.0
MAPK8	imputed	5.0
HSPA8	group1	13.0
FGF23	imputed	10.0
CST3	group1	13.0
CTNNB1	group1	2.0
RHOA	group1	13.0
APP	group1	13.0
FN1	group1	11.0
SNCA	imputed	3.0
IRF1	imputed	13.0
CD44	imputed	9.0
HSP90AA1	group1	12.0
TP53	imputed	13.0
GSK3B	imputed	2.0
KDR	imputed	4.0
UBC	group1	13.0
ALB	imputed	9.0
VEGFA	group1	13.0
TGOLN2	imputed	13.0
APOE	imputed	2.0
FYN	imputed	12.0
AR	imputed	13.0
UBA52	group1	13.0
DNAJC3	imputed	13.0
HIF3A	imputed	2.0
PSEN1	imputed	3.0
AXIN1	imputed	2.0
PXN	imputed	1.0
ACTN2	group1	13.0
ACTN1	group1	10.0
AKT1	imputed	13.0
