Id,Label,modularity_class,Degree,eigencentrality,Authority,Hub,pageranks
CCT2,,0,2,0.193523,0.054801,0.054805,0.00971
ACTB,,0,9,0.352876,0.096704,0.096693,0.038858
CTSZ,,2,2,0.180292,0.052892,0.052892,0.00965
CTSD,,1,8,0.579044,0.174758,0.17475,0.031756
HSPA8,,2,8,0.483802,0.142994,0.142997,0.033371
PSMD1,,1,3,0.435715,0.14032,0.140326,0.012505
UBC,,3,12,1,0.321103,0.321103,0.045384
UBA52,,4,11,0.892343,0.289371,0.289362,0.042078
EGF,,2,2,0.183897,0.053767,0.053769,0.009657
FN1,,5,8,0.602503,0.180025,0.180012,0.031819
CALR,,6,2,0.180647,0.052854,0.052856,0.009718
B2M,,6,10,0.650176,0.192893,0.192883,0.040306
P4HB,,6,7,0.414817,0.124645,0.124637,0.029318
TFRC,,6,3,0.355392,0.109359,0.109361,0.012918
CDH2,,6,2,0.192177,0.056727,0.056733,0.009744
RHOA,,0,11,0.720948,0.216183,0.216165,0.044665
NFKB1,,1,4,0.500594,0.158145,0.158152,0.015971
LYZ,,1,11,0.772851,0.232539,0.23253,0.0428
UBB,,3,10,0.79413,0.253438,0.253438,0.038882
NR3C1,,0,2,0.174322,0.047381,0.047389,0.009896
HSP90AA1,,5,11,0.641901,0.187985,0.187965,0.045195
RAD23A,,0,3,0.371353,0.117708,0.117715,0.01287
CFL1,,0,2,0.185839,0.052075,0.052082,0.009855
JUN,,6,3,0.294874,0.083523,0.083525,0.013172
CDC5L,,2,2,0.147999,0.039898,0.0399,0.009948
RAD23B,,0,2,0.194832,0.05828,0.058284,0.009707
VCL,,0,3,0.282713,0.081164,0.081172,0.013231
CD3D,,3,2,0.23998,0.074293,0.074295,0.009461
SDC2,,6,2,0.251347,0.075411,0.075413,0.009399
CST3,,6,9,0.786233,0.236865,0.23687,0.034086
MAPK1,,1,3,0.359943,0.105974,0.105985,0.012984
TAP1,,4,2,0.254254,0.080272,0.080276,0.009409
OS9,,4,3,0.37769,0.12236,0.122366,0.012759
SRC,,5,5,0.638251,0.198845,0.198861,0.019527
HIF1A,,3,2,0.282811,0.08877,0.088769,0.009286
VEGFA,,5,10,0.717686,0.212181,0.21219,0.039325
C3,,5,2,0.229422,0.068671,0.068674,0.009419
EGFR,,2,2,0.204677,0.059784,0.059788,0.009728
DNAJC3,,6,3,0.342449,0.10194,0.101938,0.012801
ERLEC1,,3,2,0.201169,0.062932,0.062935,0.009596
RAC1,,5,2,0.16506,0.046059,0.046064,0.009784
FGF23,,6,4,0.567111,0.183229,0.183232,0.015721
AKT1,,0,2,0.231,0.067268,0.067277,0.009676
APP,,1,2,0.199861,0.059453,0.059456,0.009598
MMP9,,1,3,0.346382,0.103117,0.103117,0.012755
ESR1,,1,2,0.206615,0.060375,0.060381,0.009598
RAB5A,,3,3,0.389371,0.124723,0.124726,0.012625
IRF1,,6,2,0.21947,0.063394,0.0634,0.00965
CD44,,0,2,0.230987,0.068088,0.068094,0.009609
GNB2L1,,4,2,0.254267,0.079451,0.079459,0.009475
TP53,,3,2,0.271987,0.084735,0.084741,0.009438
KDR,,5,2,0.230306,0.066609,0.066611,0.009565
ALB,,6,5,0.531779,0.15757,0.15757,0.019662
HIF3A,,4,2,0.265091,0.083486,0.083487,0.009324
TGFB1,,3,3,0.351296,0.107471,0.107472,0.012759
