Id,Label,modularity_class,Degree,eigencentrality,Authority,Hub,pageranks
HIST1H2BA,,1,3,0.346458,0.108584,0.10859,0.014382
UBC,,1,9,0.795102,0.249601,0.249592,0.039221
FOS,,0,6,0.405829,0.122045,0.122038,0.027699
UBA52,,1,10,0.820713,0.258015,0.258007,0.044102
ERBB2,,4,3,0.320696,0.095817,0.095832,0.014628
HSP90AA1,,0,10,0.549756,0.16367,0.163643,0.04673
RHOB,,4,9,0.484115,0.142415,0.142385,0.041768
JUN,,0,9,0.731331,0.222447,0.222431,0.039474
SYK,,4,2,0.159536,0.0456,0.045608,0.010874
MAPK8,,0,4,0.492046,0.149968,0.149989,0.018126
ARHGDIB,,4,2,0.214,0.062913,0.062923,0.010677
COPS5,,1,2,0.266045,0.082854,0.082859,0.010479
MYL9,,4,3,0.324466,0.099588,0.099605,0.014482
RHOA,,4,11,1,0.313556,0.313518,0.047098
TPM1,,3,5,0.392548,0.121593,0.121585,0.022889
MMP2,,2,2,0.222332,0.066476,0.066474,0.010621
A2M,,2,7,0.724209,0.221781,0.221815,0.030041
TFRC,,1,2,0.256554,0.078807,0.078811,0.010571
B2M,,5,10,0.694112,0.207387,0.207378,0.045457
ACTB,,3,9,0.662363,0.203716,0.203709,0.040118
ACTN1,,3,8,0.750721,0.233244,0.233218,0.033751
RAD23A,,1,3,0.389182,0.122669,0.122674,0.014247
ITSN1,,1,3,0.34184,0.104179,0.104189,0.014489
CFL1,,4,2,0.283426,0.089197,0.089207,0.010432
CDC5L,,3,2,0.213004,0.063351,0.063358,0.010766
VCL,,3,6,0.70369,0.218402,0.218429,0.025501
FN1,,2,7,0.60346,0.187072,0.187039,0.030645
VAV1,,4,2,0.209213,0.060317,0.060326,0.010813
MAPK1,,0,2,0.223161,0.064717,0.06473,0.010805
APP,,5,11,0.710188,0.211668,0.211637,0.049537
TAP1,,1,2,0.261258,0.080258,0.080262,0.010616
CLU,,3,2,0.252361,0.076716,0.076728,0.010417
SRC,,1,7,0.898271,0.280657,0.280692,0.029111
ADAM10,,1,2,0.264461,0.080992,0.081,0.01058
GAPDH,,3,2,0.239602,0.071628,0.071636,0.010621
CST3,,5,2,0.246556,0.07226,0.072269,0.010696
VEGFA,,2,2,0.229344,0.070614,0.070625,0.010452
AKT1,,4,2,0.266986,0.082287,0.082301,0.010616
SNCA,,1,2,0.259757,0.07954,0.079549,0.010536
ACTN2,,3,3,0.320586,0.097683,0.097698,0.01431
ALB,,5,3,0.349437,0.104515,0.104531,0.014419
STAT3,,0,2,0.17028,0.049266,0.049274,0.010901
BCR,,2,2,0.190417,0.056808,0.056822,0.010671
IRF1,,0,2,0.219958,0.063983,0.063991,0.01084
CD44,,4,2,0.290381,0.08983,0.08984,0.010507
TP53,,0,3,0.359623,0.109623,0.109634,0.014409
GNB2L1,,1,2,0.237863,0.072715,0.072723,0.010725
ARHGDIA,,4,2,0.256241,0.07862,0.078636,0.010589
ACTC1,,3,2,0.182948,0.056099,0.056102,0.010684
TGFB3,,2,4,0.426411,0.131775,0.131782,0.017883
