Id,Label,modularity_class,Degree,eigencentrality,Authority,Hub,pageranks
ERBB2,,2,3,0.491078,0.165217,0.165221,0.015747
CTNNB1,,0,10,0.756162,0.249801,0.249784,0.051047
VEGFA,,1,11,1,0.333922,0.333927,0.05444
UBB,,2,8,0.755427,0.250781,0.250779,0.039588
CCT5,,3,2,0.215873,0.06678,0.066783,0.011884
ACTB,,3,9,0.503644,0.153483,0.153468,0.047215
GNB2L1,,1,7,0.558094,0.183829,0.183831,0.036479
TFRC,,5,3,0.388902,0.12618,0.126186,0.015959
UBC,,6,9,0.862132,0.289113,0.289111,0.043878
B2M,,4,9,0.520898,0.162054,0.16204,0.047053
HSPA8,,5,7,0.574897,0.186177,0.186173,0.036054
GNB1,,8,2,0.24818,0.081931,0.081933,0.011776
NR3C1,,3,2,0.260864,0.082305,0.082311,0.011727
HSP90AA1,,1,9,0.795674,0.262256,0.262247,0.045243
RAD23A,,6,3,0.414857,0.135758,0.135764,0.015852
CFL1,,3,2,0.241618,0.075918,0.075924,0.011803
JUN,,4,3,0.406118,0.128578,0.128584,0.016101
CDC5L,,5,2,0.219285,0.067243,0.067248,0.011831
RAD23B,,2,2,0.252134,0.080035,0.080039,0.011661
UBA52,,6,8,0.731213,0.243128,0.243123,0.040046
SNCA,,7,3,0.414463,0.135196,0.135201,0.015859
CD3D,,2,2,0.254719,0.081732,0.081736,0.011645
MAPK1,,7,2,0.256162,0.080226,0.080232,0.011782
APP,,7,9,0.476175,0.142985,0.14297,0.047803
TAP1,,6,2,0.250411,0.080216,0.080221,0.011694
SRC,,1,2,0.305439,0.10251,0.102508,0.011634
HIF1A,,6,2,0.361252,0.123353,0.123353,0.011349
EGFR,,8,2,0.251592,0.082394,0.082398,0.011723
RHOA,,8,8,0.696131,0.229999,0.22999,0.04094
ADAM10,,6,2,0.243124,0.07644,0.076445,0.011764
MAPK8,,8,2,0.236916,0.07384,0.073846,0.011858
GAPDH,,7,2,0.204609,0.058689,0.058697,0.011966
CST3,,4,2,0.207195,0.060386,0.060394,0.011951
FYN,,0,2,0.25662,0.081534,0.081542,0.011776
AR,,5,2,0.264009,0.086313,0.086318,0.011712
AKT1,,0,3,0.442549,0.146908,0.146917,0.015955
TGOLN2,,5,2,0.214584,0.065165,0.06517,0.011886
PSEN1,,0,2,0.249333,0.077758,0.077766,0.011847
RUVBL1,,3,2,0.254034,0.079837,0.079845,0.011791
IRF1,,4,2,0.263449,0.084002,0.084008,0.011712
NOTCH1,,6,2,0.31641,0.106693,0.106698,0.011479
CD44,,8,2,0.244203,0.077615,0.077621,0.011788
TP53,,6,2,0.323239,0.109161,0.109164,0.011415
GSK3B,,6,2,0.292548,0.097588,0.097594,0.01159
KDR,,1,2,0.350429,0.118034,0.118035,0.011477
IGF1R,,1,2,0.260596,0.085849,0.085853,0.011765
ALB,,4,2,0.301462,0.098194,0.098197,0.011646
HIF3A,,6,2,0.337391,0.114248,0.114248,0.011459
RPS27A,,1,2,0.258696,0.086047,0.086047,0.011634
TGFB1,,7,2,0.294175,0.094419,0.094421,0.011716
