Id,Label,modularity_class,Degree,eigencentrality,Authority,Hub,pageranks
HSPA1A,,4,3,0.323306,0.111998,0.112013,0.013877
UBA52,,2,12,0.850306,0.307855,0.307827,0.05164
ARF1,,0,12,0.635231,0.201536,0.201493,0.053561
RAB5C,,1,2,0.193507,0.057361,0.057376,0.010449
IGFBP7,,3,7,0.439866,0.138116,0.138101,0.030434
DNAJC3,,3,3,0.351763,0.116324,0.116331,0.013527
TGOLN2,,0,2,0.207268,0.063517,0.06353,0.010211
JUN,,6,4,0.345762,0.105164,0.10518,0.01781
TF,,2,3,0.421157,0.151573,0.151588,0.013653
HSP90B1,,3,3,0.2706,0.08416,0.08417,0.013689
CST3,,3,8,0.548484,0.172083,0.172076,0.033781
SURF4,,4,3,0.2747,0.083504,0.083525,0.014129
PSAP,,1,8,0.350341,0.105212,0.10519,0.037029
GGA3,,2,2,0.302899,0.105852,0.105868,0.010095
UBC,,2,12,1,0.364461,0.364439,0.050536
STIP1,,5,2,0.211999,0.069957,0.069962,0.01027
HSP90AB1,,4,7,0.452469,0.151197,0.151185,0.031431
SYVN1,,4,3,0.417534,0.151885,0.151903,0.01364
CALR,,4,2,0.188353,0.058934,0.058944,0.010071
B2M,,3,9,0.559724,0.175334,0.175313,0.038818
HSPA5,,4,7,0.423331,0.139798,0.139775,0.030334
HSPA8,,4,10,0.891033,0.311739,0.31173,0.041405
AKT1,,5,2,0.180003,0.056885,0.056891,0.010316
TFRC,,3,4,0.572414,0.19695,0.196973,0.017277
SPTAN1,,0,2,0.227045,0.069872,0.069884,0.010106
DNAJC5,,1,2,0.233409,0.077982,0.077989,0.010176
TOM1,,2,2,0.251501,0.08784,0.087851,0.010236
NR3C1,,6,2,0.185783,0.059615,0.059621,0.010406
HSP90AA1,,5,10,0.668548,0.222841,0.222829,0.043886
ACTB,,6,6,0.301137,0.095911,0.095895,0.027912
RAD23A,,2,2,0.215897,0.075512,0.075523,0.010333
RHOA,,6,2,0.240448,0.086102,0.086111,0.010256
CDC5L,,4,4,0.389768,0.130664,0.130679,0.017691
DNAJB1,,5,3,0.369329,0.126129,0.12614,0.013654
UBB,,2,3,0.498697,0.18405,0.184064,0.013478
TAP1,,3,2,0.263055,0.090367,0.090379,0.010046
RAB11A,,5,2,0.248234,0.079365,0.079378,0.010246
HIF1A,,5,2,0.274231,0.096773,0.096781,0.010079
VEGFA,,5,8,0.484973,0.152959,0.152944,0.035547
C3,,1,2,0.15587,0.045505,0.045513,0.010351
EGFR,,5,2,0.306228,0.109845,0.109853,0.010033
DDOST,,1,2,0.226949,0.077251,0.077263,0.010313
RAC1,,6,2,0.182455,0.055622,0.055636,0.010469
FGF23,,2,3,0.440933,0.157928,0.157942,0.013548
APP,,3,3,0.282806,0.084651,0.084662,0.01391
IRF1,,5,2,0.232941,0.074469,0.074477,0.010119
GAK,,0,2,0.284808,0.095994,0.096006,0.010036
GNB2L1,,2,2,0.281676,0.099255,0.099265,0.010111
VAMP2,,0,2,0.278348,0.095263,0.09528,0.010173
KDR,,5,3,0.342019,0.107972,0.107988,0.014021
PF4,,1,2,0.164839,0.048281,0.04829,0.010433
ALB,,5,3,0.305537,0.093583,0.093593,0.013753
FYN,,3,2,0.193378,0.061069,0.061076,0.010205
HIF3A,,2,2,0.24968,0.086183,0.086194,0.010157
ACTR1A,,0,2,0.208671,0.065964,0.065977,0.010332
