#gene	origin	count
CFL1	imputed	7.0
RAF1	imputed	1.0
MAP2K1	imputed	3.0
TIMP1	imputed	9.0
FGA	imputed	1.0
COPS5	imputed	1.0
TFRC	imputed	9.0
GNB2L1	group1	9.0
ITGB1	group1	9.0
ACTB	group1	9.0
VCL	imputed	9.0
RAPGEF1	imputed	1.0
UBB	group1	9.0
B2M	group1	9.0
CDC5L	imputed	9.0
RAD23B	imputed	4.0
CD3D	imputed	4.0
CDC42	imputed	9.0
SDC2	imputed	8.0
MAPK1	imputed	9.0
TAP1	imputed	9.0
CLU	group1	9.0
SRC	imputed	9.0
HIF1A	imputed	1.0
EGFR	imputed	9.0
TLN1	imputed	4.0
ADAM10	imputed	4.0
MAPK8	imputed	3.0
RAD23A	imputed	9.0
GAPDH	imputed	1.0
HSPA8	imputed	9.0
FGF23	imputed	9.0
CST3	group1	9.0
JUN	group1	9.0
RHOA	group1	9.0
APP	group1	9.0
FN1	group1	9.0
SNCA	imputed	1.0
IRF1	imputed	9.0
CD44	imputed	7.0
HSP90AA1	group1	8.0
TP53	imputed	9.0
KDR	imputed	1.0
UBC	group1	9.0
ALB	imputed	6.0
HSPG2	imputed	9.0
VEGFA	group1	9.0
IL6	imputed	7.0
UBA52	group1	9.0
VCAM1	imputed	1.0
HIF3A	imputed	1.0
TGFB1	imputed	9.0
ACTN1	group1	9.0
AKT1	imputed	9.0
SPP1	imputed	6.0
RAP1A	group1	1.0
