#gene	origin	count
IGFBP7	group1	9.0
VAMP8	imputed	9.0
KTN1	imputed	3.0
TFRC	imputed	9.0
GNB2L1	group1	9.0
CDH2	imputed	4.0
DNAJC5	imputed	9.0
TOM1	imputed	9.0
CXCL1	imputed	9.0
UBB	group1	9.0
B2M	group1	9.0
CD3D	imputed	4.0
SDC2	imputed	9.0
GNB1	imputed	9.0
MAPK1	imputed	8.0
TAP1	imputed	9.0
HIF1A	imputed	9.0
C3	imputed	9.0
EGFR	imputed	9.0
ADAM10	imputed	5.0
MAPK8	imputed	2.0
DDOST	imputed	9.0
SPARCL1	group1	2.0
HSPA8	group1	9.0
PSAP	group1	9.0
FGF23	imputed	6.0
CST3	group1	9.0
JUN	imputed	9.0
RHOA	group1	9.0
APP	group1	9.0
IRF1	imputed	9.0
SNCA	imputed	2.0
FN1	imputed	9.0
CD44	imputed	4.0
HSP90AA1	group1	9.0
TP53	imputed	9.0
KDR	imputed	9.0
TF	imputed	9.0
UBC	group1	9.0
PF4	imputed	9.0
ALB	imputed	9.0
VEGFA	group1	9.0
TGOLN2	imputed	6.0
APOE	imputed	4.0
UBA52	group1	9.0
DNAJC3	imputed	9.0
HIF3A	imputed	9.0
PSEN1	imputed	2.0
TGFB1	imputed	9.0
AKT1	imputed	9.0
