#gene	origin	count
FTH1	group1	6.0
ARF1	group1	6.0
IGFBP7	group1	6.0
CTSZ	imputed	6.0
LTF	group1	5.0
GGA3	imputed	5.0
TIMP1	group1	6.0
TFRC	imputed	6.0
GNB2L1	group1	6.0
CDH2	imputed	6.0
QSOX1	imputed	6.0
NFKB1	imputed	5.0
VCL	imputed	6.0
UBB	group1	6.0
B2M	group1	6.0
CD3D	imputed	2.0
GNB1	imputed	6.0
TAP1	imputed	6.0
CLU	imputed	5.0
RAB11A	imputed	4.0
EGFR	imputed	6.0
GOLM1	group1	5.0
ADAM10	imputed	2.0
TMSB4X	group1	6.0
CYFIP1	imputed	6.0
HSPA8	group1	6.0
IGF1	imputed	6.0
CST3	imputed	6.0
RHOA	group1	6.0
CTSD	group1	2.0
IRF1	imputed	6.0
GAK	imputed	5.0
CD44	imputed	6.0
HSP90AA1	group1	6.0
ALDOA	imputed	6.0
RAB5A	imputed	2.0
TF	imputed	6.0
UBC	group1	6.0
PPBP	imputed	6.0
VEGFA	imputed	6.0
OCRL	imputed	2.0
TGOLN2	imputed	6.0
UBA52	group1	6.0
DNAJC3	imputed	6.0
SERPINA1	imputed	6.0
RPS27A	imputed	2.0
PLD1	imputed	5.0
TGFB1	imputed	1.0
ESR1	imputed	6.0
AKT1	imputed	6.0
