#Gene ID | Degree Score | Closeness Score | Betweenness Score
CCT2	3.0	0.3951612903225806	18.01971916971917
FTH1	8.0	0.45794392523364486	82.27454212454211
CTSZ	2.0	0.3602941176470588	3.186111111111111
CFL1	2.0	0.3402777777777778	5.798351648351649
LTF	8.0	0.47115384615384615	73.96744644244646
PSMD1	4.0	0.4188034188034188	12.288888888888888
VAMP8	2.0	0.35766423357664234	9.64993894993895
TFRC	6.0	0.4666666666666667	46.664285714285704
GNB2L1	5.0	0.4152542372881356	49.45711788211788
SPTAN1	2.0	0.35507246376811596	3.9761904761904763
DNAJC5	2.0	0.3656716417910448	10.624938949938947
NFKB1	5.0	0.4336283185840708	26.58253968253968
TOM1	2.0	0.362962962962963	7.101526251526252
NR3C1	2.0	0.33793103448275863	4.613095238095238
ACTB	9.0	0.4152542372881356	95.5902958152958
VCL	4.0	0.4152542372881356	31.495523920523922
UBB	11.0	0.46226415094339623	136.54763014763017
B2M	10.0	0.4537037037037037	161.6356532356532
CDC5L	2.0	0.35766423357664234	7.088034188034187
RAD23B	2.0	0.35507246376811596	9.131324231324232
CD3D	2.0	0.3684210526315789	6.366666666666666
GNB1	3.0	0.3858267716535433	33.48830891330891
MAPK1	3.0	0.4016393442622951	12.28373015873016
TAP1	2.0	0.35766423357664234	4.459523809523809
C3	2.0	0.3656716417910448	6.46025641025641
EGFR	4.0	0.4083333333333333	18.389718614718614
DDOST	2.0	0.3475177304964539	6.918589743589743
CYFIP1	4.0	0.4117647058823529	22.821775446775444
RAD23A	3.0	0.3684210526315789	14.872965922965921
HSPA8	9.0	0.47115384615384615	135.40076867576863
PSAP	10.0	0.4152542372881356	108.89642857142856
CST3	2.0	0.3475177304964539	5.329761904761904
JUN	2.0	0.35	11.212637362637363
RHOA	9.0	0.44144144144144143	119.10860805860807
LYZ	9.0	0.4803921568627451	122.27374847374848
APP	2.0	0.35766423357664234	13.862637362637361
CTSD	10.0	0.4537037037037037	122.770646020646
IRF1	2.0	0.3602941176470588	9.739285714285714
AGT	2.0	0.35507246376811596	9.457081807081806
CD44	2.0	0.35766423357664234	9.749206349206348
HSP90AA1	9.0	0.44144144144144143	112.98668831168831
RAB5A	3.0	0.3951612903225806	8.807539682539682
UBC	10.0	0.47115384615384615	105.4103285603286
PPBP	2.0	0.362962962962963	5.556227106227106
UBA52	9.0	0.44545454545454544	78.85516983016983
DNAJC3	2.0	0.3684210526315789	2.4916666666666663
RPS27A	2.0	0.3475177304964539	2.976190476190476
RAB5C	2.0	0.35507246376811596	5.419780219780219
ESR1	2.0	0.35766423357664234	7.182178932178932
AKT1	2.0	0.3475177304964539	2.7587301587301587

