#gene	origin	count
HIST1H2BA	imputed	5.0
ERBB2	imputed	5.0
FOS	group1	5.0
ARHGDIB	imputed	1.0
CFL1	imputed	4.0
COPS5	imputed	1.0
MYL9	group1	5.0
MMP2	imputed	5.0
TFRC	imputed	5.0
GNB2L1	group1	4.0
ACTB	group1	5.0
VCL	imputed	5.0
B2M	group1	5.0
CDC5L	imputed	5.0
MAPK1	imputed	5.0
TAP1	imputed	5.0
CLU	group1	5.0
SRC	imputed	5.0
ADAM10	imputed	4.0
MAPK8	imputed	5.0
RAD23A	imputed	5.0
GAPDH	imputed	4.0
VAV1	imputed	5.0
SYK	imputed	1.0
CST3	group1	5.0
JUN	group1	5.0
RHOA	group1	5.0
APP	group1	5.0
STAT3	imputed	5.0
BCR	imputed	3.0
FN1	group1	5.0
SNCA	imputed	2.0
IRF1	imputed	5.0
CD44	imputed	4.0
TP53	imputed	5.0
HSP90AA1	group1	5.0
TPM1	group1	5.0
RHOB	group1	5.0
UBC	group1	4.0
ARHGDIA	imputed	4.0
ALB	imputed	4.0
VEGFA	imputed	5.0
ITSN1	imputed	5.0
UBA52	group1	5.0
ACTC1	group1	5.0
TGFB3	imputed	5.0
ACTN2	imputed	5.0
A2M	group1	5.0
ACTN1	group1	5.0
AKT1	imputed	5.0
