#gene	origin	count
CCT2	imputed	8.0
CTSZ	imputed	8.0
CFL1	imputed	8.0
PSMD1	imputed	8.0
EGF	imputed	8.0
CALR	group1	8.0
TFRC	imputed	8.0
GNB2L1	group1	8.0
CDH2	imputed	8.0
NFKB1	imputed	8.0
NR3C1	imputed	4.0
ACTB	group1	8.0
VCL	imputed	8.0
UBB	group1	8.0
B2M	group1	8.0
CDC5L	imputed	8.0
RAD23B	imputed	6.0
CD3D	imputed	6.0
SDC2	imputed	8.0
MAPK1	imputed	8.0
TAP1	imputed	8.0
OS9	imputed	1.0
SRC	imputed	5.0
HIF1A	imputed	3.0
C3	imputed	8.0
EGFR	imputed	8.0
RAD23A	imputed	8.0
HSPA8	group1	8.0
ERLEC1	imputed	1.0
RAC1	imputed	8.0
FGF23	imputed	4.0
CST3	group1	8.0
JUN	imputed	8.0
RHOA	group1	8.0
LYZ	group1	1.0
APP	imputed	8.0
CTSD	group1	7.0
FN1	group1	8.0
IRF1	imputed	8.0
CD44	imputed	8.0
HSP90AA1	group1	8.0
TP53	imputed	8.0
KDR	imputed	2.0
RAB5A	imputed	7.0
MMP9	imputed	8.0
UBC	group1	8.0
ALB	imputed	5.0
VEGFA	group1	8.0
UBA52	group1	8.0
DNAJC3	imputed	8.0
HIF3A	imputed	3.0
P4HB	group1	8.0
TGFB1	imputed	7.0
ESR1	imputed	8.0
AKT1	imputed	8.0
